Actual_SoC,Predicted_SoC
0.99393153,0.9940479
0.99389184,0.9939933
0.9938526,0.99393857
0.9938135,0.9938843
0.9937748,0.9938303
0.99373615,0.99377644
0.9936979,0.9937228
0.99365985,0.9936696
0.99362195,0.99361634
0.9935844,0.9935634
0.9935471,0.9935107
0.99351,0.9934584
0.9934732,0.99340606
0.99343646,0.9933542
0.9934001,0.99330246
0.99336386,0.99325085
0.993328,0.99319935
0.99329233,0.99314845
0.9932568,0.99309754
0.99322164,0.99304676
0.9931866,0.99299645
0.9931518,0.99294615
0.9931172,0.9928961
0.9930829,0.99284625
0.99304867,0.9927968
0.9930148,0.9927473
0.9929812,0.9926982
0.9929477,0.9926492
0.99291444,0.9926003
0.9928814,0.9925518
0.9928485,0.9925035
0.992816,0.99245524
0.99278355,0.9924073
0.99275136,0.9923595
0.9927194,0.99231195
0.9926877,0.9922646
0.992656,0.99221754
0.99262464,0.99217045
0.9925935,0.9921237
0.99256265,0.99207723
0.9925318,0.992031
0.99250126,0.9919845
0.992471,0.9919387
0.9924408,0.9918928
0.9924109,0.99184716
0.9923811,0.99180174
0.99235153,0.99175644
0.9923221,0.9917114
0.992293,0.99166644
0.99226403,0.99162185
0.9922352,0.9915774
0.9922066,0.9915329
0.9921781,0.9914888
0.99214983,0.9914448
0.9921218,0.99140084
0.9920939,0.99135745
0.99206626,0.9913138
0.9920387,0.99127054
0.9920114,0.9912275
0.99198425,0.99118453
0.9919572,0.9911417
0.99193037,0.99109906
0.9919038,0.9910565
0.9918773,0.99101424
0.9918511,0.9909722
0.991825,0.9909302
0.991799,0.9908885
0.99177325,0.9908469
0.9917476,0.9908054
0.9917222,0.990764
0.99169695,0.9907229
0.9916719,0.9906819
0.9916469,0.99064106
0.9916221,0.99060035
0.9915974,0.9905598
0.991573,0.99051934
0.99154866,0.9904792
0.9915246,0.9904391
0.9915005,0.9903992
0.9914768,0.99035925
0.99145305,0.9903198
0.99142945,0.9902802
0.9914061,0.9902408
0.99138296,0.9902017
0.99135983,0.99016273
0.99133694,0.99012375
0.99131405,0.990085
0.9912915,0.99004626
0.991269,0.9900078
0.9912467,0.9899695
0.9912245,0.9899313
0.9912024,0.9898932
0.9911804,0.98985523
0.9911587,0.9898173
0.991137,0.9897798
0.9911155,0.9897421
0.9910942,0.98970467
0.99107295,0.9896675
0.9910518,0.98963016
0.9910308,0.98959315
0.99100995,0.98955625
0.99098927,0.9895193
0.9909687,0.98948276
0.99094826,0.9894462
0.99092793,0.98940974
0.99090767,0.9893735
0.99088764,0.9893372
0.9908677,0.98930115
0.9908479,0.98926514
0.99082816,0.9892294
0.99080855,0.9891936
0.9907892,0.98915803
0.9907698,0.9891226
0.99075055,0.98908716
0.9907314,0.9890519
0.9907124,0.98901683
0.9906935,0.98898166
0.99067473,0.9889468
0.9906561,0.98891187
0.9906375,0.9888771
0.9906191,0.9888424
0.99060076,0.988808
0.9905825,0.9887736
0.9905644,0.9887392
0.9905464,0.98870504
0.99052846,0.9886709
0.99051064,0.9886368
0.990493,0.98860294
0.99047536,0.98856914
0.9904579,0.9885354
0.9904405,0.9885018
0.9904232,0.9884682
0.990406,0.9884348
0.9903889,0.9884015
0.9903719,0.9883682
0.99035496,0.98833495
0.99033815,0.98830193
0.9903214,0.9882689
0.99030477,0.98823607
0.9902882,0.98820317
0.99027175,0.9881705
0.99025536,0.98813784
0.9902391,0.98810524
0.9902229,0.9880729
0.9902068,0.9880403
0.99019074,0.988008
0.9901748,0.9879759
0.990159,0.9879436
0.9901432,0.9879116
0.9901275,0.98787963
0.9901118,0.98784775
0.99009633,0.9878157
0.99008083,0.987784
0.99006546,0.9877524
0.99005014,0.98772067
0.9900349,0.98768914
0.99001974,0.9876576
0.9900046,0.9876262
0.9899896,0.9875948
0.9899747,0.98756355
0.98995984,0.9875323
0.989945,0.9875012
0.9899302,0.98747015
0.98991555,0.9874391
0.9899009,0.9874081
0.98988634,0.9873771
0.9898719,0.9873463
0.9898575,0.98731554
0.98984313,0.98728496
0.9898288,0.9872543
0.9898145,0.98722357
0.9898004,0.98719305
0.98978627,0.98716253
0.9897722,0.9871321
0.98975825,0.9871017
0.98974425,0.98707145
0.98973036,0.9870411
0.98971653,0.98701096
0.9897027,0.98698074
0.989689,0.9869506
0.9896753,0.9869205
0.98966163,0.9868906
0.9896481,0.9868605
0.9896345,0.9868308
0.989621,0.98680073
0.9896075,0.98677087
0.9895941,0.98674107
0.98958075,0.98671126
0.9895675,0.9866816
0.9895542,0.986652
0.98954093,0.98662233
0.98952776,0.9865927
0.9895146,0.98656315
0.9895015,0.9865336
0.9894884,0.9865042
0.98947537,0.9864747
0.9894624,0.98644525
0.9894494,0.9864159
0.9894365,0.9863865
0.9894236,0.9863573
0.98941064,0.98632795
0.9893978,0.9862986
0.9893851,0.9862694
0.9893723,0.9862404
0.98935956,0.98621124
0.9893468,0.9861821
0.9893341,0.98615295
0.9893215,0.9861238
0.9893088,0.9860948
0.9892962,0.98606575
0.9892836,0.9860367
0.98927104,0.98600775
0.9892585,0.98597884
0.989246,0.98594993
0.98923343,0.9859209
0.989221,0.985892
0.9892085,0.98586315
0.98919606,0.9858343
0.9891836,0.98580545
0.9891712,0.98577654
0.9891588,0.9857478
0.9891464,0.9857189
0.989134,0.9856902
